Year,Month,Number of Shootings
2006,January,129
2006,February,97
2006,March,102
2006,April,156
2006,May,173
2006,June,180
2006,July,233
2006,August,245
2006,September,196
2006,October,199
2006,November,167
2006,December,178
2007,January,109
2007,February,78
2007,March,103
2007,April,117
2007,May,199
2007,June,201
2007,July,239
2007,August,212
2007,September,173
2007,October,197
2007,November,135
2007,December,124
2008,January,114
2008,February,80
2008,March,128
2008,April,153
2008,May,194
2008,June,197
2008,July,233
2008,August,215
2008,September,197
2008,October,153
2008,November,130
2008,December,164
2009,January,105
2009,February,113
2009,March,104
2009,April,136
2009,May,172
2009,June,182
2009,July,211
2009,August,210
2009,September,167
2009,October,143
2009,November,161
2009,December,124
2010,January,97
2010,February,123
2010,March,132
2010,April,167
2010,May,166
2010,June,218
2010,July,211
2010,August,203
2010,September,181
2010,October,144
2010,November,140
2010,December,128
2011,January,102
2011,February,98
2011,March,89
2011,April,136
2011,May,176
2011,June,178
2011,July,221
2011,August,217
2011,September,250
2011,October,188
2011,November,133
2011,December,151
2012,January,114
2012,February,101
2012,March,130
2012,April,127
2012,May,173
2012,June,183
2012,July,247
2012,August,191
2012,September,140
2012,October,113
2012,November,98
2012,December,100
2013,January,119
2013,February,66
2013,March,85
2013,April,94
2013,May,99
2013,June,139
2013,July,141
2013,August,162
2013,September,120
2013,October,125
2013,November,98
2013,December,91
2014,January,107
2014,February,52
2014,March,109
2014,April,98
2014,May,129
2014,June,153
2014,July,161
2014,August,169
2014,September,109
2014,October,130
2014,November,107
2014,December,140
2015,January,117
2015,February,68
2015,March,93
2015,April,106
2015,May,181
2015,June,135
2015,July,132
2015,August,162
2015,September,115
2015,October,103
2015,November,104
2015,December,118
2016,January,79
2016,February,74
2016,March,79
2016,April,72
2016,May,108
2016,June,116
2016,July,112
2016,August,184
2016,September,128
2016,October,105
2016,November,77
2016,December,74
2017,January,68
2017,February,48
2017,March,56
2017,April,81
2017,May,88
2017,June,113
2017,July,104
2017,August,96
2017,September,90
2017,October,89
2017,November,60
2017,December,76
2018,January,88
2018,February,41
2018,March,56
2018,April,68
2018,May,98
2018,June,90
2018,July,114
2018,August,91
2018,September,81
2018,October,82
2018,November,71
2018,December,71